id;resource_name;resource_description;resource_url;resource_preview_image;resource_type;weight;discipline_id;program_id;course_id;lesson_id
22;CSS Box Model and Selectors;Learn CSS selectors, specificity, and the box model for styling web pages;https://www.youtube.com/watch?v=yfoY53QXEnI;;VIDEO;1;;;;22
23;CSS Flexbox in 20 Minutes;Master CSS Flexbox layout with practical examples and responsive design techniques;https://www.youtube.com/watch?v=JJSoEo8JSnc;;VIDEO;1;;;;23
24;JavaScript DOM Manipulation;Learn JavaScript basics and DOM manipulation for interactive web pages;https://www.youtube.com/watch?v=hdI2bqOjy3c;;VIDEO;1;;;;24
25;Build a To-Do List App;Step-by-step project building a to-do list with HTML, CSS, and JavaScript;https://www.youtube.com/watch?v=MkESyVB4oUw;;VIDEO;1;;;;25
26;Episode 01 - Architecting Your Software Stack;Mike Ziray introduces the Armory project and explains the architecture decisions behind building a full stack learning management app with JHipster - the same foundation and domain model as Learn With Hamster;https://www.youtube.com/watch?v=3zrQIPwEuOs;;VIDEO;1;;;;26
27;JDL Studio - Visual Entity Designer;Browser-based visual editor for designing JHipster Domain Language models. Build your entity diagram interactively and export the .jdl file used to generate all entities in both the gateway and service modules;https://start.jhipster.tech/jdl-studio/;;TOOL;1;;;;27
28;JHipster Getting Started Guide;Official step-by-step tutorial covering installation, running the generator for the first time, and understanding every configuration prompt for gateway and service module types;https://www.jhipster.tech/getting-started/;;TUTORIAL;1;;;;28
29;Learn With Hamster - Full Source Code;Complete source code for this application - a JHipster 8 microservices rebuild of the Armory project using Maven, Angular 19, Consul service discovery, HttpOnly cookie auth, and an earth-tone custom UI;https://github.com/Hamstertjie/Learn-With-Hamster-App;;PAGE;1;;;;29
30;JHipster Entity Generation Docs;Complete reference for the jhipster entity generator including DTO configuration, service layer options, pagination choices, and the difference between direct entity relationships and MapStruct DTOs;https://www.jhipster.tech/creating-an-entity/;;PAGE;1;;;;30
31;Browse Module - Learn With Hamster Source;The custom Angular browse module added to this project beyond the generated entity CRUD - shows standalone components, route configuration, and how to cleanly extend a JHipster Angular 19 application;https://github.com/Hamstertjie/Learn-With-Hamster-App/tree/main/gateway/src/main/webapp/app/browse;;PAGE;1;;;;31
32;JHipster Consul Service Discovery Docs;Official guide to using Consul instead of JHipster Registry for microservice registration, health checks, and centralized Spring Cloud Config in a JHipster microservices application;https://www.jhipster.tech/consul/;;PAGE;1;;;;32
33;Liquibase Master Changelog - Learn With Hamster;The root Liquibase migration file for the service module in this project - shows how generated changelogs, custom join table data, and seed CSVs are included and ordered for a JHipster app;https://github.com/Hamstertjie/Learn-With-Hamster-App/blob/main/service/src/main/resources/config/liquibase/master.xml;;PAGE;1;;;;33
34;JHipster Security Configuration Docs;Reference for JHipster security setup including JWT, cookie-based auth, CORS configuration, and how to extend SecurityConfiguration for custom permit-all routes and CSP headers;https://www.jhipster.tech/security/;;PAGE;1;;;;34
35;Docker Compose Infrastructure - Learn With Hamster;The root docker-compose.yml for this project defining Consul, two isolated MySQL instances, and Elasticsearch - the minimum infrastructure needed to run both JHipster modules locally in dev;https://github.com/Hamstertjie/Learn-With-Hamster-App/blob/main/docker-compose.yml;;PAGE;1;;;;35
36;JHipster Testing Guide;Complete guide to testing a JHipster application including unit tests, integration tests with Testcontainers for real databases, Jest for Angular components, and Cypress for end-to-end browser testing;https://www.jhipster.tech/running-tests/;;PAGE;1;;;;36
37;JHipster Production Build and Deployment Guide;How to build and deploy a JHipster application for production including Maven prod profile activation, Angular build optimization, Jib Docker image creation, and cloud deployment options;https://www.jhipster.tech/production/;;PAGE;1;;;;37
38;Armory - Original JHipster Reference Project;The original JHipster 4.x Armory learning management system by Mike Ziray that inspired this rebuild - same domain model and microservices architecture, useful for comparing JHipster 4 versus JHipster 8 generation;https://github.com/ElectronicArmory/Armory;;PAGE;1;;;6;
39;Electronic Armory YouTube Channel;Complete tutorial series by Mike Ziray covering how to build the Armory learning management app from scratch with JHipster - the video foundation for this course's architecture and design decisions;https://www.youtube.com/@ElectronicArmory;;VIDEO;1;;;6;
